player_id,firstname,lastname,position,height,weight,byear,rookie
3306,Elton,Brand,Forward-Center,81,254,1979,1999
58293,Kyle,Korver,Guard-Forward,79,212,1981,2003
292401,Lou,Williams,Guard,73,175,1986,2005
237675,Paul,Millsap,Forward-Center,80,258,1985,2006
280587,Al,Horford,Forward-Center,82,250,1986,2007
398043,Jeff,Teague,Point Guard,74,181,1988,2009
262890,DeMarre,Carroll,Forward,80,212,1986,2009
477669,Shelvin,Mack,Point Guard,75,207,1990,2011
637935,Gustavo,Ayon,Forward-Center,82,250,1985,2011
509472,John,Jenkins,Guard-Forward,76,215,1991,2012
513339,Jared,Cunningham,Guard,76,195,1991,2012
398034,Mike,Scott,Power Forward,80,237,1988,2012
739958,Dennis,Schroder,Point Guard,73,168,1993,2013
746146,Pero,Antic,Center,83,238,1982,2013
478206,James,Nunnally,Shooting Guard,79,205,1990,2013
3514,Gerald,Wallace,Forward,79,220,1982,2001
58214,Keith,Bogans,Guard-Forward,77,215,1980,2003
229649,Kris,Humphries,Forward-Center,81,235,1985,2004
229792,Brandon,Bass,Forward-Center,80,250,1985,2005
65910,Ryan,Gomes,Forward,79,245,1982,2005
262882,Rajon,Rondo,Point Guard,73,186,1986,2006
266367,Jeff,Green,Guard-Forward,81,235,1986,2007
265013,Joel,Anthony,Forward-Center,81,245,1982,2007
395391,Jerryd,Bayless,Guard,75,200,1988,2008
513607,Avery,Bradley,Guard,74,180,1990,2010
552403,Jared,Sullinger,Forward-Center,81,260,1992,2012
462745,Chris,Johnson,Forward,78,201,1990,2012
514882,Kelly,Olynyk,Center,84,238,1991,2013
552183,Phil,Pressey,Point Guard,71,175,1991,2013
743822,Vitor,Faverani,Center,83,260,1988,2013
552380,Vander,Blue,Point Guard,77,200,1992,2013
2989,Kevin,Garnett,Forward-Center,83,253,1976,1995
3235,Paul,Pierce,Guard-Forward,79,235,1977,1998
3315,Jason,Terry,Guard,74,180,1977,1999
3329,Andrei,Kirilenko,Forward,81,235,1981,2001
3501,Joe,Johnson,Guard-Forward,79,240,1981,2001
173147,Reggie,Evans,Forward-Center,80,245,1980,2002
253980,Shaun,Livingston,Guard,79,175,1985,2004
172537,Deron,Williams,Point Guard,75,209,1984,2005
292404,Andray,Blatche,Forward-Center,83,260,1986,2005
66858,Alan,Anderson,Guard-Forward,78,220,1982,2005
330047,Brook,Lopez,Center,84,275,1988,2008
603097,Marquis,Teague,Point Guard,74,189,1993,2012
639311,Mirza,Teletovic,Forward,81,242,1985,2012
510790,Mason,Plumlee,Forward-Center,83,235,1990,2013
3513,Brendan,Haywood,Center,84,263,1979,2001
