global_id,team_id,team_city,team_name,team_alias,conference
1,1,Atlanta,Hawks,Atl,Eastern
2,2,Boston,Celtics,Bos,Eastern
17,17,Brooklyn,Nets,Bkn,Eastern
5312,30,Charlotte,Hornets,Cha,Eastern
4,4,Chicago,Bulls,Chi,Eastern
5,5,Cleveland,Cavaliers,Cle,Eastern
6,6,Dallas,Mavericks,Dal,Western
7,7,Denver,Nuggets,Den,Western
8,8,Detroit,Pistons,Det,Eastern
9,9,Golden State,Warriors,GS,Western
10,10,Houston,Rockets,Hou,Western
11,11,Indiana,Pacers,Ind,Eastern
12,12,Los Angeles,Clippers,LAC,Western
13,13,Los Angeles,Lakers,LAL,Western
29,29,Memphis,Grizzlies,Mem,Western
14,14,Miami,Heat,Mia,Eastern
15,15,Milwaukee,Bucks,Mil,Eastern
16,16,Minnesota,Timberwolves,Min,Western
3,3,New Orleans,Pelicans,NO,Western
18,18,New York,Knicks,NY,Eastern
25,25,Oklahoma City,Thunder,OKC,Western
19,19,Orlando,Magic,Orl,Eastern
20,20,Philadelphia,76ers,Phi,Eastern
21,21,Phoenix,Suns,Pho,Western
22,22,Portland,Trail Blazers,Por,Western
23,23,Sacramento,Kings,Sac,Western
24,24,San Antonio,Spurs,SA,Western
28,28,Toronto,Raptors,Tor,Eastern
26,26,Utah,Jazz,Uta,Western
27,27,Washington,Wizards,Was,Eastern
